asin	1	2	3	4	5
1069238	1	0	0	0	0
5068895	0	0	0	0	2
7707983	0	0	1	0	0
1269397	0	0	0	0	2
8024043	0	0	0	0	1
4043235	0	0	0	1	0
5314598	2	0	0	2	17
9540503	0	0	1	0	0
6508166	0	2	0	0	3
2151967	1	0	0	0	0
1603589	0	0	0	0	1
9564372	0	0	0	1	7
6435440	1	1	1	0	3
6092754	0	0	0	0	1
8268568	4	0	2	4	14
1742387	3	0	0	0	1
8165939	1	0	0	0	0
6447401	5	3	0	9	17
9738254	2	0	3	10	21
8967532	0	0	1	0	3
6860783	0	0	1	2	5
5036385	1	0	0	0	0
1063683	0	0	0	0	2
5678250	1	1	0	1	1
8141536	2	1	0	4	20
4202329	6	0	2	28	99
1718017	1	1	3	5	10
4721620	0	1	0	2	10
7171490	0	0	0	0	1
4878340	0	0	0	0	2
6828697	1	0	0	0	0
3399228	4	1	7	34	66
3151485	5	1	14	41	129
3600001	7	2	5	18	23
6671706	7	4	3	4	4
7612410	18	7	7	16	10
7012892	2	1	1	12	23
9769397	3	5	3	19	36
1559953	4	5	5	6	16
3323453	1	0	0	0	7
9791484	5	0	2	4	5
7844929	0	0	2	1	5
6606323	0	0	1	4	2
5858441	1	1	0	5	6
5095355	4	0	1	3	4
9418508	2	0	2	1	5
9112565	0	0	0	2	2
2188072	3	0	1	5	7
3709047	1	0	0	1	3
1454831	7	3	2	5	8
4415400	1	0	0	1	10
1773627	2	0	0	0	0
5546518	12	7	4	50	199
1848237	0	0	0	1	0
5677582	0	0	0	1	0
6027526	0	0	0	1	0
1925421	0	0	0	0	1
9218091	0	0	0	1	0
9445157	15	4	6	27	147
1324545	1	0	0	0	1
9484880	0	2	4	21	19
3418008	1	0	0	1	2
2262590	0	0	0	1	0
8748291	0	0	1	5	9
8599589	1	0	0	0	0
9539546	0	0	0	1	1
5779774	2	0	2	2	15
6262568	0	0	0	0	2
8311804	2	1	8	23	112
4115907	0	0	1	0	0
7595146	0	0	0	0	1
5296756	3	0	0	4	24
3648045	0	0	1	1	4
9371750	41	12	30	134	264
2202956	1	0	0	4	11
8525251	0	0	0	0	4
2841668	0	0	0	1	1
9645023	3	0	0	0	0
6796748	0	0	1	0	2
1219919	0	0	0	0	1
2048910	0	0	0	0	1
1197061	0	0	0	0	1
4165028	1	0	2	6	24
9375704	2	3	3	11	28
4997400	0	0	0	0	1
2896622	0	0	0	0	1
3350156	5	2	3	5	14
4333031	1	0	0	0	1
4811920	0	0	0	2	6
9037226	0	1	0	0	3
1294135	0	0	0	0	1
2740017	0	0	0	3	3
4281549	0	0	0	1	0
7284597	0	0	0	2	5
9829262	0	2	0	11	30
4750149	0	1	0	1	0
4654980	0	0	1	0	1
5801544	0	0	0	0	2
1274766	0	0	0	0	1
7301301	3	1	4	14	16
9198738	0	0	0	0	1
5338860	0	0	0	5	3
4407138	1	2	0	14	38
8602669	0	0	0	1	0
6342411	0	0	0	2	4
7531217	0	0	0	0	1
6862456	1	0	0	0	2
7555212	3	3	4	22	41
3278283	0	0	0	0	1
5318680	0	0	0	0	1
5368717	0	0	0	0	1
9045331	2	0	0	1	4
5829182	1	0	0	0	3
6829735	1	0	1	1	0
1989421	0	0	1	0	15
3478242	0	0	0	1	11
9557415	0	1	0	2	3
4103857	0	0	0	0	1
1506236	1	0	2	3	4
1559893	1	0	0	3	11
2359225	5	5	7	12	14
2673682	4	3	5	22	15
4763673	8	2	5	19	11
